alias_name,standard_name
RHenc_Min,RHenc_Min
RHenc_Max,RHenc_Max
Tpanel_Min,Tpanel_Min
Tpanel_Max,Tpanel_Max
LGR_LiBattV,LGR_LiBattV
BattVolt_Min,BattVolt_Min
BattVolt_Max,BattVolt_Max
CH201_VBatt_Min,CH201_VBatt_Min
VBatt_Min,CH201_VBatt_Min
CH201_VBatt_Max,CH201_VBatt_Max
VBatt_Max,CH201_VBatt_Max
CH201_DaySysAh,CH201_DaySysAh
DaySys_AH,CH201_DaySysAh
CH201_DayLoadAh,CH201_DayLoadAh
DayLoad_AH,CH201_DayLoadAh
CH201_DayBattAhIn,CH201_DayBattAhIn
DayBattIn_AH,CH201_DayBattAhIn
CH201_DayBattAhOut,CH201_DayBattAhOut
DayBattOut_AH,CH201_DayBattAhOut
CellUsageDay,CellUsageDay
DailyCellUse,CellUsageDay
CellUsageMonth,CellUsageMonth
DutyCycle_Min,DutyCycle_Min
DutyCycle_Max,DutyCycle_Max
RV_Level,RV_Level_1
RV_Level_1,RV_Level_1
RV_LiBattV,RV_LiBattV_1
RV_LiBatt_V,RV_LiBattV_1
RV_LiBattV_1,RV_LiBattV_1
RV_Level_2,RV_Level_2
RV_LiBattV_2,RV_LiBattV_2
