alias_name,standard_name
LGR_StName,LGR_StName
LGR_PakBus,LGR_PakBus
ST_ID,ST_ID
SITE_ELEV,SITE_ELEV
SITE_BD,SITE_BD
SITE_MagDec,SITE_MagDec
Rnet_SN,Rnet_SN
SWin_sens,SWin_sens
SWout_sens,SWout_sens
LWin_sens,LWin_sens
LWout_sens,LWout_sens
Rnet_heater,Rnet_heater
SHF_SN,SHF_SN
SHF_1_SN,SHF_1_SN
SHF_2_SN,SHF_2_SN
SHF_sens,SHF_sens
SHF_1_sens,SHF_1_sens
SHF_2_sens,SHF_2_sens
SHF_depth,SHF_depth
SM1_ori,SM1_ori
SM2_ori,SM2_ori
SM3_ori,SM3_ori
SM1_depth0,SM1_depth0
SM2_depth0,SM2_depth0
SM3_depth0,SM3_depth0
SM1_depth,SM1_depthM
SM2_depth,SM2_depthM
SM3_depth,SM3_depthM
TSM1_depth,TSM1_depthM
TSM2_depth,TSM2_depthM
TSM3_depth,TSM3_depthM
UPDATE,UPDATE
