alias_name,standard_name
BattVolt,BattVolt
BattVolt_Avg,BattVolt_Avg
BattVolt_Min,BattVolt_Min
BattVolt_Max,BattVolt_Max
LithiumBattery,LGR_LiBattV
Tpanel,Tpanel
PanTemp_Avg,Tpanel
Tpanel_Avg,Tpanel
RHenc,RHenc
EncRH,RHenc
RH_enc,RHenc
DutyCycle_Avg,DutyCycle_Avg
duty_cycle_Avg,DutyCycle_Avg
DutyCycle_Min,DutyCycle_Min
duty_cycle_Min,DutyCycle_Min
DutyCycle_Max,DutyCycle_Max
duty_cycle_Max,DutyCycle_Max
Trnet_Avg,Trnet_Avg
TrnetK_Avg,Trnet_K_Avg
CellUsage5min,CellUsage5min
CellStr,CellStr
CellQlt,CellQlt
TCair_Avg,TCair_Avg
RGtip_Tot,RGtip_1_Tot
RGtip_Tot_1,RGtip_1_Tot
RGtip_Tot_2,RGtip_2_Tot
Nscans,Nscans
Good_Sample,GoodSample
GoodSample_Wind,GoodSample_Wind
Fault_Wind,Fault_Wind
Fault_Temperature,Fault_Temperature
Fault_Dewpoint,Fault_Dewpoint
Fault_Humidity,Fault_Humidity
Fault_Pressure,Fault_Pressure
Fault_Compass,Fault_Compass
Fault_NAN,Fault_NAN
Fault_Undefined,Fault_Undefined
