alias_name,standard_name
dnWelling_SW_Avg,SWin_1_Avg
upWelling_SW_Avg,SWout_1_Avg
dnWelling_LW_Avg,LWin_1_Avg
upWelling_LW_Avg,LWout_1_Avg
Trnet_Avg,Trnet_1_Avg
Rnet_Avg,Rnet_1_Avg
SWnet_Avg,SWnet_1_Avg
LWnet_Avg,LWnet_1_Avg
TOT_dnWelling_Avg,Rin_1_Avg
TOT_upWelling_Avg,Rout_1_Avg
Albedo_Avg,Albedo_1_Avg
Tsurface_Avg,Tsrf_1_Avg
Tsky_Avg,Tsky_1_Avg
Tair_1_Avg,Tair_1_Avg
RH_1_Avg,RH_1_Avg
Tair_2_Avg,Tair_2_Avg
RH_2_Avg,RH_2_Avg
TC_air_Avg,TCair_1_Avg
WindSpeed,WS_1_Avg
WindSpeed_rs,WSrs_1_Avg
WindDir,WDrs_1_Avg
WindDir_sd,WD_1_StdCS
WindDir_uv,WDuv_1_Avg
Tsoil_Avg,Tsoil_1_Avg
SoilHeatFlux_Avg(1),SHF_1_Avg
SoilHeatFlux_Avg(2),SHF_2_Avg
F,SHFbg_1_Avg
M,SHS_1_Avg
G,SHFsrf_1_Avg
SoilMoisture_Avg(1),SM_1_Avg
SoilMoisture_Avg(2),SM_2_Avg
SoilMoisture_T_Avg(1),SMadjT_1_Avg
SoilMoisture_T_Avg(2),SMadjT_2_Avg
Rainfall_Tot,RF_1_Tot
