alias_name,standard_name
Tair_1_Min,Tair_1_Min
Tair_1_Max,Tair_1_Max
Tair_2_Min,Tair_2_Min
Tair_2_Max,Tair_2_Max
RH_1_Min,RH_1_Min
RH_1_Max,RH_1_Max
RH_2_Min,RH_2_Min
RH_2_Max,RH_2_Max
TC_air_Min,TCair_1_Min
TC_air_Max,TCair_1_Max
Tsoil_1_Min,Tsoil_1_Min
Tsoil_Min,Tsoil_1_Min
Tsoil_SM1_Min,Tsoil_1_Min
Tsoil_TCAV_Min,Tsoil_1_Min
Tsoil_1_Max,Tsoil_1_Max
Tsoil_Max,Tsoil_1_Max
Tsoil_SM1_Max,Tsoil_1_Max
Tsoil_TCAV_Max,Tsoil_1_Max
WG_Max,WG_1_Max
WindGust_Max,WG_1_Max
WindGust_TMx,WG_1_TMx
WS_Max,WS_1_Max
WindSpeed_Max,WS_1_Max
WindSpeed_TMx,WS_1_TMx
