standard_name,display_name
SWin_1_Avg,Incoming shortwave radiation
SWout_1_Avg,Outgoing shortwave radiation
LWin_1_Avg,Incoming longwave radiation
LWinUC_1_Avg,"Incoming longwave radiation, uncorrected"
LWout_1_Avg,Outgoing longwave radiation
LWoutUC_1_Avg,"Outgoing longwave radiation, uncorrected"
SWnet_1_Avg,Net shortwave radiation
LWnet_1_Avg,Net longwave radiation
Rin_1_Avg,Net incoming radiation
Rout_1_Avg,Net outgoing radiation
Rnet_1_Avg,Net radiation
RnetUC_1_Avg,"Net radiation, uncorrected"
Albedo_1_Avg,Albedo
Tsrf_1_Avg,Surface temperature
Tsky_1_Avg,Sky temperature
PAR_1_Avg,Photosynthetically active radiation
PAR_2_Avg,"Photosynthetically active radiation, sensor 2"
PARdiff_1_Avg,Diffused photosynthetically active radiation
Tair_1_Avg,"Air temperature, sensor 1"
Tair_2_Avg,"Air temperature, sensor 2"
RH_1_Avg,"Relative humidity, sensor 1"
RH_2_Avg,"Relative humidity, sensor 2"
VP_1_Avg,"Vapor pressure, sensor 1"
VP_2_Avg,"Vapor pressure, sensor 2"
VPD_1_Avg,"Vapor pressure deficit, sensor 1"
VPD_2_Avg,"Vapor pressure deficit, sensor 2"
VPsat_1_Avg,"Saturation vapor pressure, sensor 1"
VPsat_2_Avg,"Saturation vapor pressure, sensor 2"
WS_1_Avg,Mean wind speed
WSrs_1_Avg,Resultant vector wind speed
WDuv_1_Avg,Unit vector average wind direction
WDrs_1_Avg,Resultant vector wind direction
WD_1_StdCS,Wind direction standard deviation
WD_1_StdY,"Wind direction standard deviation, wind speed weighted"
P_1,Pressure
Psl_1,Sea level pressure
SM_1_Avg,"Soil moisture, sensor 1"
SM_2_Avg,"Soil moisture, sensor 2"
SM_3_Avg,"Soil moisture, sensor 3"
SMadjT_1_Avg,"Temperature-adjusted soil moisture, sensor 1"
SMadjT_2_Avg,"Temperature-adjusted soil moisture, sensor 2"
SHF_1_Avg,"Soil heat flux, sensor 1"
SHF_2_Avg,"Soil heat flux, sensor 2"
SHFbg_1_Avg,"Soil heat flux, sensor average"
SHS_1_Avg,Soil heat storage
SHFsrf_1_Avg,Surface soil heat flux
Tsoil_1_Avg,"Soil temperature, sensor 1"
Tsoil_2,"Soil temperature, sensor 2"
Tsoil_3,"Soil temperature, sensor 3"
Tsoil_4,"Soil temperature, sensor 4"
RF_1_Tot,Rainfall
RF_2_Tot,"Rainfall, sensor 2"
RFint_1_Max,Maximum rain intensity
RFint_2_Max,"Maximum rain intensity, sensor 2"
RGtip_1_Tot,Rain gauge tips
WTlvl_1_Avg,Water table level
FC_1_Tot,Fog collection
FOGtip_1_Tot,Fog gauge tips
FM_1,Fuel moisture
FT_1,Fuel temperature
TCair_1_Avg,Thermocouple temperature
Trnet_1_Avg,NR01 sensor body temperature
Tair_1_Min,"Minimum air temperature, sensor 1"
Tair_1_Max,"Maximum air temperature, sensor 1"
Tair_2_Min,"Minimum air temperature, sensor 2"
Tair_2_Max,"Maximum air temperature, sensor 2"
RH_1_Min,"Minimum relative humidity, sensor 1"
RH_1_Max,"Maximum relative humidity, sensor 1"
RH_2_Min,"Minimum relative humidity, sensor 1"
RH_2_Max,"Maximum relative humidity, sensor 1"
TCair_1_Min,Minimum thermocouple temperature
TCair_1_Max,Maximum thermocouple temperature
Tsoil_1_Min,Minimum soil temperature
Tsoil_1_Max,Maximum soil temperature
WG_1_Max,Maximum wind gust
WG_1_TMx,Time of maximum wind gust
WS_1_Max,Maximum wind speed
WS_1_TMx,Time of maximum wind speed
BattVolt,Battery voltage
BattVolt_Min,Minimum battery voltage
BattVolt_Max,Maximum battery voltage
LGR_LiBattV,Logger lithium battery voltage
Tpanel,Logger panel temperature
RHenc,Enclosure relative humidity
DutyCycle_Avg,NR01 heater duty cycle
DutyCycle_Min,Minimum NR01 heater duty cycle
DutyCycle_Max,Maximum NR01 heater duty cycle
Trnet_Avg,NR01 sensor body temperature
Trnet_K_Avg,"NR01 sensor body temperature, Kelvin"
CellUsage5min,5-minute cellular data usage
CellStr,Cellular signal strength
CellQlt,Cellular signal quality
TCair_Avg,Thermocouple temperature
RGtip_1_Tot,Rain gauge tip
RGtip_2_Tot,"Rain gauge tip, sensor 2"
Nscans,Number of scans
GoodSample,Number of good samples
Fault_Wind,Number of falut wind samples
Fault_Temperature,Number of falut temperature samples
Fault_Dewpoint,Number of falut dew point samples
Fault_Humidity,Number of falut humidity samples
Fault_Pressure,Number of falut pressure samples
Fault_Compass,Number of falut compass
Fault_NAN,Number of NAN
Fault_Undefined,Number of undefined falut
GoodSample_Wind,Number of good wind samples
RFmin_1,Minutely rainfall
RFmin_2,"Minutely rainfall, sensor 2"
RGtipmin_1,Minutely rain gauge tips
RGtipmin_2,"Minutely rain gauge tips, sensor 2"
