station_id,standard_name,sensor_number,sensor_height
115,SWin_1_Avg,0,3
115,SWout_1_Avg,0,3
115,LWin_1_Avg,0,3
115,LWout_1_Avg,0,3
115,SWnet_1_Avg,0,3
115,LWnet_1_Avg,0,3
115,Rin_1_Avg,0,3
115,Rout_1_Avg,0,3
115,Rnet_1_Avg,0,3
115,Albedo_1_Avg,0,3
115,Tsrf_1_Avg,0,3
115,Tsky_1_Avg,0,3
115,Tair_1_Avg,0,2
115,RH_1_Avg,0,2
115,VP_1_Avg,0,2
115,VPsat_1_Avg,0,2
115,VPD_1_Avg,0,2
115,Tair_2_Avg,1,2
115,RH_2_Avg,1,2
115,VP_2_Avg,1,2
115,VPsat_2_Avg,1,2
115,VPD_2_Avg,1,2
115,WS_1_Avg,0,3.66
115,WSrs_1_Avg,0,3.66
115,WDuv_1_Avg,0,3.66
115,WDrs_1_Avg,0,3.66
115,WD_1_StdY,0,3.66
115,WD_1_StdCS,0,3.66
115,P_1_Avg,0,1.4
115,Psl_1_Avg,0,1.4
115,SM_1_Avg,0,-0.08
115,SM_2_Avg,1,-0.31
115,SM_3_Avg,2,-0.61
115,Tsoil_1_Avg,0,-0.08
115,Tsoil_2_Avg,1,-0.08
115,Tsoil_3_Avg,2,-0.16
115,Tsoil_4_Avg,3,-0.46
115,SHF_1_Avg,0,-0.16
115,RF_1_Tot300s,0,0.8
115,RFint_1_Max,0,0.8
116,SWin_1_Avg,0,2.98
116,SWout_1_Avg,0,2.98
116,LWin_1_Avg,0,2.98
116,LWout_1_Avg,0,2.98
116,SWnet_1_Avg,0,2.98
116,LWnet_1_Avg,0,2.98
116,Rin_1_Avg,0,2.98
116,Rout_1_Avg,0,2.98
116,Rnet_1_Avg,0,2.98
116,Albedo_1_Avg,0,2.98
116,Tsrf_1_Avg,0,2.98
116,Tsky_1_Avg,0,2.98
116,Tair_1_Avg,0,2
116,RH_1_Avg,0,2
116,VP_1_Avg,0,2
116,VPsat_1_Avg,0,2
116,VPD_1_Avg,0,2
116,Tair_2_Avg,1,2
116,RH_2_Avg,1,2
116,VP_2_Avg,1,2
116,VPsat_2_Avg,1,2
116,VPD_2_Avg,1,2
116,WS_1_Avg,0,3.5
116,WSrs_1_Avg,0,3.5
116,WDuv_1_Avg,0,3.5
116,WDrs_1_Avg,0,3.5
116,WD_1_StdY,0,3.5
116,WD_1_StdCS,0,3.5
116,P_1_Avg,0,1.52
116,Psl_1_Avg,0,1.52
116,SM_1_Avg,0,-0.08
116,SM_2_Avg,1,-0.31
116,SM_3_Avg,2,-0.61
116,Tsoil_1_Avg,0,-0.08
116,Tsoil_2_Avg,1,-0.08
116,Tsoil_3_Avg,2,-0.16
116,Tsoil_4_Avg,3,-0.46
116,SHF_1_Avg,0,-0.16
116,RF_1_Tot300s,0,0.9
116,RFint_1_Max,0,0.9
118,SWin_1_Avg,0,2.95
118,SWout_1_Avg,0,2.95
118,LWin_1_Avg,0,2.95
118,LWout_1_Avg,0,2.95
118,SWnet_1_Avg,0,2.95
118,LWnet_1_Avg,0,2.95
118,Rin_1_Avg,0,2.95
118,Rout_1_Avg,0,2.95
118,Rnet_1_Avg,0,2.95
118,Albedo_1_Avg,0,2.95
118,Tsrf_1_Avg,0,2.95
118,Tsky_1_Avg,0,2.95
118,Tair_1_Avg,0,2
118,RH_1_Avg,0,2
118,VP_1_Avg,0,2
118,VPsat_1_Avg,0,2
118,VPD_1_Avg,0,2
118,Tair_2_Avg,1,2
118,RH_2_Avg,1,2
118,VP_2_Avg,1,2
118,VPsat_2_Avg,1,2
118,VPD_2_Avg,1,2
118,WS_1_Avg,0,3.56
118,WSrs_1_Avg,0,3.56
118,WDuv_1_Avg,0,3.56
118,WDrs_1_Avg,0,3.56
118,WD_1_StdY,0,3.56
118,WD_1_StdCS,0,3.56
118,P_1_Avg,0,1.4
118,Psl_1_Avg,0,1.4
118,SM_1_Avg,0,-0.08
118,SM_2_Avg,1,-0.31
118,SM_3_Avg,2,-0.61
118,Tsoil_1_Avg,0,-0.08
118,Tsoil_2_Avg,1,-0.08
118,Tsoil_3_Avg,2,-0.16
118,Tsoil_4_Avg,3,-0.46
118,SHF_1_Avg,0,-0.16
118,RF_1_Tot300s,0,1
118,RFint_1_Max,0,1
119,SWin_1_Avg,0,1.3
119,SWout_1_Avg,0,1.3
119,LWin_1_Avg,0,1.3
119,LWout_1_Avg,0,1.3
119,SWnet_1_Avg,0,1.3
119,LWnet_1_Avg,0,1.3
119,Rin_1_Avg,0,1.3
119,Rout_1_Avg,0,1.3
119,Rnet_1_Avg,0,1.3
119,Albedo_1_Avg,0,1.3
119,Tsrf_1_Avg,0,1.3
119,Tsky_1_Avg,0,1.3
119,Tair_1_Avg,0,1.4
119,RH_1_Avg,0,1.4
119,VP_1_Avg,0,1.4
119,VPsat_1_Avg,0,1.4
119,VPD_1_Avg,0,1.4
119,Tair_2_Avg,1,1.4
119,RH_2_Avg,1,1.4
119,VP_2_Avg,1,1.4
119,VPsat_2_Avg,1,1.4
119,VPD_2_Avg,1,1.4
119,WS_1_Avg,0,1.6
119,WSrs_1_Avg,0,1.6
119,WDuv_1_Avg,0,1.6
119,WDrs_1_Avg,0,1.6
119,WD_1_StdY,0,1.6
119,WD_1_StdCS,0,1.6
119,P_1_Avg,0,
119,Psl_1_Avg,0,
119,SM_1_Avg,0,-0.15
119,SM_2_Avg,1,-0.45
119,Tsoil_1_Avg,0,-0.04
119,SHF_1_Avg,0,-0.08
119,RF_1_Tot300s,0,1
119,RFint_1_Max,0,1
119,SHF_2_Avg,1,-0.08
121,SWin_1_Avg,0,2.87
121,SWout_1_Avg,0,2.87
121,LWin_1_Avg,0,2.87
121,LWout_1_Avg,0,2.87
121,SWnet_1_Avg,0,2.87
121,LWnet_1_Avg,0,2.87
121,Rin_1_Avg,0,2.87
121,Rout_1_Avg,0,2.87
121,Rnet_1_Avg,0,2.87
121,Albedo_1_Avg,0,2.87
121,Tsrf_1_Avg,0,2.87
121,Tsky_1_Avg,0,2.87
121,Tair_1_Avg,0,2
121,RH_1_Avg,0,2
121,VP_1_Avg,0,2
121,VPsat_1_Avg,0,2
121,VPD_1_Avg,0,2
121,Tair_2_Avg,1,2
121,RH_2_Avg,1,2
121,VP_2_Avg,1,2
121,VPsat_2_Avg,1,2
121,VPD_2_Avg,1,2
121,WS_1_Avg,0,3.15
121,WSrs_1_Avg,0,3.15
121,WDuv_1_Avg,0,3.15
121,WDrs_1_Avg,0,3.15
121,WD_1_StdY,0,3.15
121,WD_1_StdCS,0,3.15
121,P_1_Avg,0,1.4
121,Psl_1_Avg,0,1.4
121,SM_1_Avg,0,-0.08
121,SM_2_Avg,1,-0.31
121,SM_3_Avg,2,-0.61
121,Tsoil_1_Avg,0,-0.08
121,Tsoil_2_Avg,1,-0.08
121,Tsoil_3_Avg,2,-0.16
121,Tsoil_4_Avg,3,-0.46
121,SHF_1_Avg,0,-0.16
121,RF_1_Tot300s,0,1.1
121,RFint_1_Max,0,1.1
122,SWin_1_Avg,0,2.79
