standard_name,synoptic_name,unit_conversion
SWin_1_Avg,SOLRAD [W/m2],
SWout_1_Avg,SOLOUT [W/m2],
LWin_1_Avg,LWRAD [W/m2],
LWout_1_Avg,LWOUT [W/m2],
SWnet_1_Avg,NETSWRAD [W/m2],
LWnet_1_Avg,NETLWRAD [W/m2],
Rnet_1_Avg,NETRAD [W/m2],
PAR_1_Avg,PAR [umol/m2s],
PAR_2_Avg,PAR [umol/m2s],
Tair_1_Avg,T [C],
Tair_2_Avg,T [C],
RH_1_Avg,RH [%],
RH_2_Avg,RH [%],
WS_1_Avg,FF [m/s],
WDrs_1_Avg,DD [deg],
P_1,P [hPa],kpa_hpa
SM_1_Avg,SOILMP [%],
SM_2_Avg,SOILMP [%],
SM_3_Avg,SOILMP [%],
Tsoil_1_Avg,SOILT [C],
Tsoil_2,SOILT [C],
Tsoil_3,SOILT [C],
Tsoil_4,SOILT [C],
RF_1_Tot300s,PCP5M [mm],
RF_2_Tot300s,PCP5M [mm],
WG_1_Max,FFGUST [m/s],
BattVolt,BATV [volt],
WS_2_Avg,FF [m/s],
Tsoil_2_Avg,SOILT [C],
Tsoil_1,SOILT [C],
Tsoil_4_Avg,SOILT [C],
SWin_2_Avg,SOLRAD [W/m2],
Tsoil_3_Avg,SOILT [C],
Rnet_2_Avg,NETRAD [W/m2],
