standard_name,alias,interval_seconds,program
"SWin_1_Avg","SWin_Avg",300,"S110_v02.CR300;HI Mesonet_0541_v02p3-0.CR1X;HI Mesonet_0201_v02.CR1X;HI Mesonet_0521_v02p2.CR1X;HI Mesonet_0521_v02p1.CR1X;HI Mesonet_0521_v01.2.CR1X;HI Mesonet_0521_v01.1.CR1X;HI Mesonet_0506_v02p3-0.CR1X;HI Mesonet_0506_v02p3.CR1X;S141_v13.CR3;S141_v13p1.CR3;S141_v13p2.CR3;S141_v13p4.CR3;S151_v13.CR3;HI Mesonet_HIPPNET Universal_v01s281.cr3;HI Mesonet_HIPPNET Universal_v01s282.cr3;HI Mesonet_HIPPNET Universal_v01s283.cr3;HI Mesonet_HIPPNET Universal_v01s286.cr3;HI Mesonet_HIPPNET Universal_v01s287.cr3;HI Mesonet_HIPPNET Universal_v01s288.cr3;HI Mesonet_HIPPNET Universal_v01s288p1.cr3;HI Mesonet 08August2022 0502-v2.1.CR1X;HI Mesonet 08August2022 0502-v2.CR1X;HI Mesonet 26July2022_502_fixed SHF-2.CR1X;HI Mesonet 04July2022 0502.v03.CR1X;HI Mesonet 29June2022.CR1X;HI Mesonet 30June2022.CR1X;HI Mesonet 30June2022_602.CR1X;HI Mesonet_universal_v02p3.CR1X;HI Mesonet_universal_v02p2.CR1X;HI Mesonet_universal_v02p1.CR1X;HI Mesonet_universal_v02.CR1X;HI Mesonet_universal_v01.2.CR1X;HI Mesonet_universal_v01.1.CR1X;HI Mesonet_universal_v01.CR1X;HI Mesonet_universal_CR3000_v03.CR3;HI Mesonet_universal_CR3000_v02p2.CR3;HI Mesonet_universal_CR3000_v02p1.CR3;HI Mesonet_universal_CR3000_v02.CR3;HI Mesonet_universal_CR3000_v01p0.CR3;HI Mesonet_universal_CR3000_v01.CR3"
"SWout_1_Avg","SWout_Avg",300,"S110_v02.CR300;HI Mesonet_0541_v02p3-0.CR1X;HI Mesonet_0201_v02.CR1X;HI Mesonet_0521_v02p2.CR1X;HI Mesonet_0521_v02p1.CR1X;HI Mesonet_0521_v01.2.CR1X;HI Mesonet_0521_v01.1.CR1X;HI Mesonet_0506_v02p3-0.CR1X;HI Mesonet_0506_v02p3.CR1X;S141_v13.CR3;S141_v13p1.CR3;S141_v13p2.CR3;S141_v13p4.CR3;S151_v13.CR3;HI Mesonet_HIPPNET Universal_v01s281.cr3;HI Mesonet_HIPPNET Universal_v01s282.cr3;HI Mesonet_HIPPNET Universal_v01s283.cr3;HI Mesonet_HIPPNET Universal_v01s286.cr3;HI Mesonet_HIPPNET Universal_v01s287.cr3;HI Mesonet_HIPPNET Universal_v01s288.cr3;HI Mesonet_HIPPNET Universal_v01s288p1.cr3;HI Mesonet 08August2022 0502-v2.1.CR1X;HI Mesonet 08August2022 0502-v2.CR1X;HI Mesonet 26July2022_502_fixed SHF-2.CR1X;HI Mesonet 04July2022 0502.v03.CR1X;HI Mesonet 29June2022.CR1X;HI Mesonet 30June2022.CR1X;HI Mesonet 30June2022_602.CR1X;HI Mesonet_universal_v02p3.CR1X;HI Mesonet_universal_v02p2.CR1X;HI Mesonet_universal_v02p1.CR1X;HI Mesonet_universal_v02.CR1X;HI Mesonet_universal_v01.2.CR1X;HI Mesonet_universal_v01.1.CR1X;HI Mesonet_universal_v01.CR1X;HI Mesonet_universal_CR3000_v03.CR3;HI Mesonet_universal_CR3000_v02p2.CR3;HI Mesonet_universal_CR3000_v02p1.CR3;HI Mesonet_universal_CR3000_v02.CR3;HI Mesonet_universal_CR3000_v01p0.CR3;HI Mesonet_universal_CR3000_v01.CR3"
"LWin_1_Avg","LWin_Avg",300,"S110_v02.CR300;HI Mesonet_0541_v02p3-0.CR1X;HI Mesonet_0201_v02.CR1X;HI Mesonet_0521_v02p2.CR1X;HI Mesonet_0521_v02p1.CR1X;HI Mesonet_0521_v01.2.CR1X;HI Mesonet_0521_v01.1.CR1X;HI Mesonet_0506_v02p3-0.CR1X;HI Mesonet_0506_v02p3.CR1X;S141_v13.CR3;S141_v13p1.CR3;S141_v13p2.CR3;S141_v13p4.CR3;S151_v13.CR3;HI Mesonet_HIPPNET Universal_v01s281.cr3;HI Mesonet_HIPPNET Universal_v01s282.cr3;HI Mesonet_HIPPNET Universal_v01s283.cr3;HI Mesonet_HIPPNET Universal_v01s286.cr3;HI Mesonet_HIPPNET Universal_v01s287.cr3;HI Mesonet_HIPPNET Universal_v01s288.cr3;HI Mesonet_HIPPNET Universal_v01s288p1.cr3;HI Mesonet 08August2022 0502-v2.1.CR1X;HI Mesonet 08August2022 0502-v2.CR1X;HI Mesonet 26July2022_502_fixed SHF-2.CR1X;HI Mesonet 04July2022 0502.v03.CR1X;HI Mesonet 29June2022.CR1X;HI Mesonet 30June2022.CR1X;HI Mesonet 30June2022_602.CR1X;HI Mesonet_universal_v02p3.CR1X;HI Mesonet_universal_v02p2.CR1X;HI Mesonet_universal_v02p1.CR1X;HI Mesonet_universal_v02.CR1X;HI Mesonet_universal_v01.2.CR1X;HI Mesonet_universal_v01.1.CR1X;HI Mesonet_universal_v01.CR1X;HI Mesonet_universal_CR3000_v03.CR3;HI Mesonet_universal_CR3000_v02p2.CR3;HI Mesonet_universal_CR3000_v02p1.CR3;HI Mesonet_universal_CR3000_v02.CR3;HI Mesonet_universal_CR3000_v01p0.CR3;HI Mesonet_universal_CR3000_v01.CR3"
"LWout_1_Avg","LWout_Avg",300,"S110_v02.CR300;HI Mesonet_0541_v02p3-0.CR1X;HI Mesonet_0201_v02.CR1X;HI Mesonet_0521_v02p2.CR1X;HI Mesonet_0521_v02p1.CR1X;HI Mesonet_0521_v01.2.CR1X;HI Mesonet_0521_v01.1.CR1X;HI Mesonet_0506_v02p3-0.CR1X;HI Mesonet_0506_v02p3.CR1X;S141_v13.CR3;S141_v13p1.CR3;S141_v13p2.CR3;S141_v13p4.CR3;S151_v13.CR3;HI Mesonet_HIPPNET Universal_v01s281.cr3;HI Mesonet_HIPPNET Universal_v01s282.cr3;HI Mesonet_HIPPNET Universal_v01s283.cr3;HI Mesonet_HIPPNET Universal_v01s286.cr3;HI Mesonet_HIPPNET Universal_v01s287.cr3;HI Mesonet_HIPPNET Universal_v01s288.cr3;HI Mesonet_HIPPNET Universal_v01s288p1.cr3;HI Mesonet 08August2022 0502-v2.1.CR1X;HI Mesonet 08August2022 0502-v2.CR1X;HI Mesonet 26July2022_502_fixed SHF-2.CR1X;HI Mesonet 04July2022 0502.v03.CR1X;HI Mesonet 29June2022.CR1X;HI Mesonet 30June2022.CR1X;HI Mesonet 30June2022_602.CR1X;HI Mesonet_universal_v02p3.CR1X;HI Mesonet_universal_v02p2.CR1X;HI Mesonet_universal_v02p1.CR1X;HI Mesonet_universal_v02.CR1X;HI Mesonet_universal_v01.2.CR1X;HI Mesonet_universal_v01.1.CR1X;HI Mesonet_universal_v01.CR1X;HI Mesonet_universal_CR3000_v03.CR3;HI Mesonet_universal_CR3000_v02p2.CR3;HI Mesonet_universal_CR3000_v02p1.CR3;HI Mesonet_universal_CR3000_v02.CR3;HI Mesonet_universal_CR3000_v01p0.CR3;HI Mesonet_universal_CR3000_v01.CR3"
"Rnet_1_Avg","Rnet_Avg",300,"S110_v02.CR300;HI Mesonet_0541_v02p3-0.CR1X;HI Mesonet_0201_v02.CR1X;HI Mesonet_0521_v02p2.CR1X;HI Mesonet_0521_v02p1.CR1X;HI Mesonet_0521_v01.2.CR1X;HI Mesonet_0521_v01.1.CR1X;HI Mesonet_0506_v02p3-0.CR1X;HI Mesonet_0506_v02p3.CR1X;S141_v13.CR3;S141_v13p1.CR3;S141_v13p2.CR3;S141_v13p4.CR3;S151_v12.CR3;S151_v12p1.CR3;S151_v13.CR3;S152_v12p1.CR3;S153_v11.CR3;S153_v12.CR3;S153_v12_p1han.CR3;S119_v12p1.CR3;HI Mesonet_HIPPNET Universal_v01s281.cr3;HI Mesonet_HIPPNET Universal_v01s282.cr3;HI Mesonet_HIPPNET Universal_v01s283.cr3;HI Mesonet_HIPPNET Universal_v01s286.cr3;HI Mesonet_HIPPNET Universal_v01s287.cr3;HI Mesonet_HIPPNET Universal_v01s288.cr3;HI Mesonet_HIPPNET Universal_v01s288p1.cr3;HI Mesonet 08August2022 0502-v2.1.CR1X;HI Mesonet 08August2022 0502-v2.CR1X;HI Mesonet 26July2022_502_fixed SHF-2.CR1X;HI Mesonet 04July2022 0502.v03.CR1X;HI Mesonet 29June2022.CR1X;HI Mesonet 30June2022.CR1X;HI Mesonet 30June2022_602.CR1X;HI Mesonet_universal_v02p3.CR1X;HI Mesonet_universal_v02p2.CR1X;HI Mesonet_universal_v02p1.CR1X;HI Mesonet_universal_v02.CR1X;HI Mesonet_universal_v01.2.CR1X;HI Mesonet_universal_v01.1.CR1X;HI Mesonet_universal_v01.CR1X;HI Mesonet_universal_CR3000_v03.CR3;HI Mesonet_universal_CR3000_v02p2.CR3;HI Mesonet_universal_CR3000_v02p1.CR3;HI Mesonet_universal_CR3000_v02.CR3;HI Mesonet_universal_CR3000_v01p0.CR3;HI Mesonet_universal_CR3000_v01.CR3"
"Rnet_2_Avg","Rnet_meas_Avg",300,"S110_v02.CR300"
"SWnet_1_Avg","SWnet_Avg",300,"S110_v02.CR300;HI Mesonet_0541_v02p3-0.CR1X;HI Mesonet_0201_v02.CR1X;HI Mesonet_0521_v02p2.CR1X;HI Mesonet_0521_v02p1.CR1X;HI Mesonet_0521_v01.2.CR1X;HI Mesonet_0521_v01.1.CR1X;HI Mesonet_0506_v02p3-0.CR1X;HI Mesonet_0506_v02p3.CR1X;S141_v13.CR3;S141_v13p1.CR3;S141_v13p2.CR3;S141_v13p4.CR3;S151_v12.CR3;S151_v12p1.CR3;S151_v13.CR3;S152_v12p1.CR3;S153_v11.CR3;S153_v12.CR3;S153_v12_p1han.CR3;S119_v12p1.CR3;IPIF_v12.cr3;Spencer_v06.cr3;Mamalahoa_v10.CR3;HI Mesonet_HIPPNET Universal_v01s281.cr3;HI Mesonet_HIPPNET Universal_v01s282.cr3;HI Mesonet_HIPPNET Universal_v01s283.cr3;HI Mesonet_HIPPNET Universal_v01s286.cr3;HI Mesonet_HIPPNET Universal_v01s287.cr3;HI Mesonet_HIPPNET Universal_v01s288.cr3;HI Mesonet_HIPPNET Universal_v01s288p1.cr3;HI Mesonet 08August2022 0502-v2.1.CR1X;HI Mesonet 08August2022 0502-v2.CR1X;HI Mesonet 26July2022_502_fixed SHF-2.CR1X;HI Mesonet 04July2022 0502.v03.CR1X;HI Mesonet 29June2022.CR1X;HI Mesonet 30June2022.CR1X;HI Mesonet 30June2022_602.CR1X;HI Mesonet_universal_v02p3.CR1X;HI Mesonet_universal_v02p2.CR1X;HI Mesonet_universal_v02p1.CR1X;HI Mesonet_universal_v02.CR1X;HI Mesonet_universal_v01.2.CR1X;HI Mesonet_universal_v01.1.CR1X;HI Mesonet_universal_v01.CR1X;HI Mesonet_universal_CR3000_v03.CR3;HI Mesonet_universal_CR3000_v02p2.CR3;HI Mesonet_universal_CR3000_v02p1.CR3;HI Mesonet_universal_CR3000_v02.CR3;HI Mesonet_universal_CR3000_v01p0.CR3;HI Mesonet_universal_CR3000_v01.CR3"
"LWnet_1_Avg","LWnet_Avg",300,"S110_v02.CR300;HI Mesonet_0541_v02p3-0.CR1X;HI Mesonet_0201_v02.CR1X;HI Mesonet_0521_v02p2.CR1X;HI Mesonet_0521_v02p1.CR1X;HI Mesonet_0521_v01.2.CR1X;HI Mesonet_0521_v01.1.CR1X;HI Mesonet_0506_v02p3-0.CR1X;HI Mesonet_0506_v02p3.CR1X;S141_v13.CR3;S141_v13p1.CR3;S141_v13p2.CR3;S141_v13p4.CR3;S151_v12.CR3;S151_v12p1.CR3;S151_v13.CR3;S152_v12p1.CR3;S153_v11.CR3;S153_v12.CR3;S153_v12_p1han.CR3;S119_v12p1.CR3;IPIF_v12.cr3;Spencer_v06.cr3;Mamalahoa_v10.CR3;HI Mesonet_HIPPNET Universal_v01s281.cr3;HI Mesonet_HIPPNET Universal_v01s282.cr3;HI Mesonet_HIPPNET Universal_v01s283.cr3;HI Mesonet_HIPPNET Universal_v01s286.cr3;HI Mesonet_HIPPNET Universal_v01s287.cr3;HI Mesonet_HIPPNET Universal_v01s288.cr3;HI Mesonet_HIPPNET Universal_v01s288p1.cr3;HI Mesonet 08August2022 0502-v2.1.CR1X;HI Mesonet 08August2022 0502-v2.CR1X;HI Mesonet 26July2022_502_fixed SHF-2.CR1X;HI Mesonet 04July2022 0502.v03.CR1X;HI Mesonet 29June2022.CR1X;HI Mesonet 30June2022.CR1X;HI Mesonet 30June2022_602.CR1X;HI Mesonet_universal_v02p3.CR1X;HI Mesonet_universal_v02p2.CR1X;HI Mesonet_universal_v02p1.CR1X;HI Mesonet_universal_v02.CR1X;HI Mesonet_universal_v01.2.CR1X;HI Mesonet_universal_v01.1.CR1X;HI Mesonet_universal_v01.CR1X;HI Mesonet_universal_CR3000_v03.CR3;HI Mesonet_universal_CR3000_v02p2.CR3;HI Mesonet_universal_CR3000_v02p1.CR3;HI Mesonet_universal_CR3000_v02.CR3;HI Mesonet_universal_CR3000_v01p0.CR3;HI Mesonet_universal_CR3000_v01.CR3"
"Tair_1_Avg","Tair_Avg",300,"S110_v02.CR300"
"RH_1_Avg","RH_Avg",300,"S110_v02.CR300"
