id,lat,lng,elevation,t_rh,sm,tsoil,rf
115,20.8415,-156.2948,637,2.00;2.00,-0.08;-031;-0.61,-0.08;-0.08;-0.16;-0.46,0.80
116,20.7067,-156.3554,871,2.00;2.00,-0.08;-031;-0.61,-0.08;-0.08;-0.16;-0.46,0.90
119,20.757889,-156.320028,964,1.4;1.4,-0.15;-0.45,-0.04,1.00
131,20.89072,-156.65493,244,2.00;2.00,-0.08;-031;-0.61,-0.08;-0.08;-0.16;-0.46,1.22
141,20.644222,-156.342056,1177,2.90;2.92,-0.04;-0.15,-0.04,3.10
143,20.674726,-156.233409,1632,2.22;2.28,-0.15,-0.04,2.22
144,20.633945,-156.273889,713,2.00;2.00,-0.08;-031;-0.61,-0.08;-0.08;-0.16;-0.46,0.83
145,20.644215,-156.284703,1034,1.63,0.08,-0.08,1.92
151,20.759806,-156.248167,2114,1.70;1.70,-0.15;-0.35,-0.04,0.60
152,20.738194,-156.245833,2593,1.73;1.75,-0.15;-0.45,-0.04,0.61
153,20.710361,-156.25675,2984,1.70;1.70,-0.15;-0.45,-0.04,0.50
154,20.773636,-156.222311,1935,2.00;2.00,-0.08;-0.31;-0.51,-0.08;-0.08;-0.16;-0.40,0.90
161,20.730574,-156.141316,2460,nan,nan,nan,nan
162,20.734315,-156.123354,2235,nan,nan,nan,nan
164,20.726514,-156.092308,1652,nan,nan,nan,nan
165,20.719497,-156.002356,106,2.00;2.00,-0.08;-031;-0.61,-0.08;-0.08;-0.16;-0.46,1.14
201,19.415215,-155.238394,1202,23;23,-0.08;-0.24;-0.42,-0.08;-0.08;-0.16;-0.31,20.60;20.60
202,19.6061748,-155.0515231,182,2.00;2.00,-0.08;-031;-0.61,-0.08;-0.08;-0.16;-0.46,1.17
203,19.478399,-155.214969,1043,nan,nan,nan,nan
211,19.845036,-155.362586,2352,2.00;2.00,-0.08;-031;-0.61,-0.08;-0.08;-0.16;-0.46,1.40
212,19.834341,-155.122435,260,2.00;2.00,-0.08;-031;-0.61,-0.08;-0.08;-0.16;-0.46,1.18
231,19.16877,-155.57035,631,2.00;2.00,-0.08;-031;-0.61,-0.08;-0.08;-0.16;-0.46,1.28
241,19.668669,-155.957474,537,2.00;2.00,-0.08;-031;-0.61,-0.08;-0.08;-0.16;-0.46,1.40
242,19.77241,-155.83118,1161,2.00;2.00,-0.08;-031;-0.61,-0.08;-0.08;-0.16;-0.46,1.11
243,19.2068247,-155.8109802,1283,2.00;2.00,nan,nan,1.16
251,20.122834,-155.749329,1158,2.00;2.00,-0.08;-031;-0.61,-0.08;-0.08;-0.16;-0.46,1.30
252,20.019528,-155.677085,802,2.00;2.00,-0.08;-031;-0.61,-0.08;-0.08;-0.16;-0.46,1.65
281,19.69748,-155.0954,112,2.00,nan,nan,3.00
282,19.96358,-155.25014,469,2.00,-0.15;-0.45;-0.75,-0.04,2.00
283,19.93217,-155.29129,1152,30.00,-0.15;nan;nan,-0.04;-0.04,30.00
286,19.73756,-155.99582,264,2.00,-0.15,nan,1.00
287,19.80258,-155.850629,603,2.00,-0.15;nan,nan,1.50
288,19.725393,-155.873917,1654,nan,-0.15;-0.45;-0.75,-0.04;-0.04,nan
411,21.145283,-156.729459,187,2.00;2.00,-0.08;-031;-0.61,-0.08;-0.08;-0.16;-0.46,1.07
412,21.131411,-156.758626,402,2.00;2.00,-0.08;-031;-0.61,-0.08;-0.08;-0.16;-0.46,1.10
501,21.333,-157.8025,151,3.35;3.35,-0.04;-0.15;-0.45,-0.04,3.30
502,21.339124,-157.836859,117,3.35;3.35,-0.08;-031;-0.61,-0.08;-0.08;-0.16;-0.46,0.84
503,21.34666,-157.83641,202,nan,-0.08,nan,nan
504,21.33756,-157.84092,98,nan,-0.08,nan,1.28
520,21.508229,-158.144075,1211,nan,nan,nan,nan
521,21.50675,-158.144861,1205,3.78;3.78,-0.08,-0.08,3.97
601,22.202647,-159.518833,5,2.00;2.00,-0.08;-031;-0.61,-0.08;-0.08;-0.16;-0.46,0.97
602,22.197439,-159.42123,112,2.00;2.00,-0.08;-031;-0.61,-0.08;-0.08;-0.16;-0.46,0.90
603,22.219805,-159.575195,31,2.00;2.00,-0.08;-031;-0.61,-0.08;-0.08;-0.16;-0.46,1.06
604,22.18454,-159.582659,994,nan,nan,nan,nan
605,22.113562,-159.438786,651,nan,nan,nan,nan
