ftype,standard_name,synoptic_name,unit_conversion_coefficient,metadata_col,exclude
MetData,Tair_#_Avg,T [C],1,t_rh,
MetData,RH_#_Avg,RH [%],1,t_rh,
MetData,WS_#_Avg,FF [m/s],1,null,
MetData,WDrs_#_Avg,DD [deg],1,null,
MinMax,WG_#_Max,FFGUST [m/s],1,null,
MetData,P_#,P [hPa],10,null,
MetData,SWin_#_Avg,SOLRAD [W/m2],1,null,
MetData,SWout_#_Avg,SOLOUT [W/m2],1,null,
MetData,LWin_#_Avg,LWRAD [W/m2],1,null,
MetData,LWout_#_Avg,LWOUT [W/m2],1,null,
MetData,SWnet_#_Avg,NETSWRAD [W/m2],1,null,
MetData,LWnet_#_Avg,NETLWRAD [W/m2],1,null,
MetData,Rnet_#_Avg,NETRAD [W/m2],1,null,
MetData,PAR_#_Avg,PAR [umol/m2s],1,null,
MetData,RF_#_Tot,PCP5M [mm],1,rf,
SysInfo,BattVolt,BATV [volt],1,null,
MetData,Tsoil_#,SOILT [C],1,tsoil,
MetData,SM_#_Avg,SOILMP [%],1,sm,
MetData,Tsoil_#_Avg,SOILT [C],1,tsoil,
